"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"P19338",-19.5383203487,-19.4947579701,-19.6790073108,-19.0998889546,-19.5486044357,-19.416295272,43,37,47,43,39,45,0.522006140059741,0.84825327510917,-0.215765655766667
"P19358",-21.1726478723,-20.8891145555,-21.0769307877,-21.7931748602,-21.5194802364,-21.8768960434,11,11,14,4,2,6,0.0846632923996017,0.468041237113402,0.683619308166666
"P19367",-21.2079797782,-21.2343645426,-21.2131779536,-20.8391472849,-21.1913652126,-21.0560220096,22,20,17,29,19,18,0.559804845668769,0.862674238513165,-0.189662589099999
"P19387",-20.8156568053,-21.0935739399,-20.1269670136,-20.6596678536,-21.0065100762,-21.1056201029,3,4,8,4,4,4,0.508862927314969,0.842339832869081,0.245200091299999
"P19388",-20.4743516913,-21.6973880437,-20.5707111693,NA,-20.3161389164,-20.4704287603,2,4,2,7,3,4,0.240372386325921,0.687312687312687,-0.520866463083333
"P19404",-20.7715184977,-21.61419432,-22.2756235863,-21.6473942068,-20.8818605548,-20.6001362694,6,4,5,5,9,8,0.253834052439429,0.701138519924099,-0.510648457666665
"P19414",-18.5199917144,-18.8216163214,-18.7720185422,-19.2797283728,-19.2124937577,-19.1995616484,50,43,54,33,35,39,0.154992366412214,0.563685636856369,0.526052400299999
"P19454",NA,NA,-22.8183931519,NA,NA,NA,3,1,2,2,2,1,NA,NA,NA
"P19524",-23.8172141049,-23.1060358806,-23.8722843696,NA,-24.6776587455,-24.7949903713,5,5,6,2,2,2,0.0201486890142715,0.237113402061856,1.1378131067
"P19525",NA,-22.3187564928,-23.2945284814,-23.153809944,-23.10107973,NA,6,5,5,5,7,4,0.435333056754066,0.808277541083384,0.320802349899999
"P19623",-20.2898714896,-19.8667948747,-19.7767797406,-20.3336237864,-19.3619045542,-20.6756863148,13,13,14,14,17,12,0.694811649518752,0.915536105032823,0.145922850166667
"P19784",-20.7987805058,-20.4630582536,-20.3550484056,-20.3231769862,-19.7761294981,-19.796154585,7,9,7,8,11,16,0.14961632923996,0.559274755927476,-0.573808698566669
"P19812",NA,NA,-25.9213475566,NA,NA,NA,1,1,2,NA,1,1,NA,NA,NA
"P19882",-18.4827565347,-18.5057335136,-18.3258417901,-19.1157449174,-18.7842268419,-18.7589728014,38,44,46,32,27,31,0.221390640557584,0.661375661375661,0.448204240766668
"P19926",-22.7112059977,NA,-22.8729359174,-20.0847537396,-19.9648344179,-20.3326397024,3,1,3,8,9,6,0.000148025224029207,0,-2.66466167091667
"P20020",-23.7131151558,-24.1703897471,-23.8522937654,-23.7910360002,-24.5083332217,-24.0119236108,1,1,3,1,4,1,0.583834882177232,0.867326732673267,0.19183138813333
"P20042",-19.2312772482,-19.2327949116,-19.4757668624,-19.1183040437,-18.9405930013,-19.8452260692,24,22,20,22,21,23,0.948974444075672,0.967073998642227,-0.0119053026666656
"P20051",NA,-21.4241271428,-21.7206981947,NA,NA,NA,7,5,3,2,4,1,NA,NA,NA
"P20073",-20.2243093203,-20.7882115164,-20.7073455996,-20.4983302416,-21.2692943363,-20.2355629742,11,11,14,10,10,12,0.781600730169267,0.928516228748068,0.0944403719333344
"P20081",-19.4388317285,-19.4951059834,-21.0944811063,-21.0586548696,-19.4046111484,NA,5,5,4,4,4,3,0.637131098572851,0.895522388059702,0.222160069600001
"P20107",NA,NA,NA,-22.4676680339,NA,NA,1,1,1,1,1,1,NA,NA,NA
"P20226",NA,NA,-22.7656065904,NA,NA,-22.7228778738,NA,NA,2,NA,NA,2,NA,NA,NA
"P20290",-22.0358027828,-21.7294599425,-21.7263889897,-21.7959488865,-20.4654052078,-20.605846825,4,5,5,5,8,6,0.0640698639230003,0.411167512690355,-0.8748169319
"P20338",NA,NA,-22.0192883373,-21.857590796,NA,NA,2,4,3,5,4,4,NA,NA,NA
"P20339",NA,NA,-21.7808109417,NA,NA,NA,1,1,4,1,1,2,NA,NA,NA
"P20340",NA,NA,NA,NA,NA,-21.9970878376,3,4,3,5,4,4,NA,NA,NA
"P20424",NA,NA,-23.5641242229,NA,-23.396514471,NA,4,3,4,2,1,2,NA,NA,NA
"P20434",NA,-21.5615471018,NA,NA,-21.9111760814,NA,NA,2,NA,NA,2,2,NA,NA,NA
"P20435",NA,-20.2904162136,-20.3679940705,-20.9094973597,-20.5982775519,-20.9357295578,1,2,2,1,2,2,0.193963823431796,0.631455399061033,0.485296347750001
"P20436",NA,-21.4357844977,-21.4685494758,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"P20449",-20.9995331624,-21.4024977097,-21.0465284788,-20.8718294575,-21.9400012465,-21.8888048767,7,9,8,6,3,5,0.301914039163624,0.736842105263158,0.417358743266664
"P20459",-20.7370838583,-20.2851056254,-21.0979118018,-22.1435101581,-21.3593388307,-22.5870607123,6,9,6,2,4,3,0.0128539661466976,0.173611111111111,1.32326947186667
"P20484",NA,-23.2487430754,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA
"P20486",NA,NA,-22.0723541251,NA,NA,NA,3,0,1,3,2,1,NA,NA,NA
"P20606",-20.9388708496,-20.1845920779,-21.4650994695,-21.1933814008,-21.0886795911,-21.4396486615,5,6,6,3,5,4,0.346489545303684,0.76860119047619,0.377715752133334
"P20618",-19.5825465479,-19.669058352,-19.6601015909,-19.5510624354,-19.5748152963,-19.3581954934,13,17,19,13,12,10,0.64679057417856,0.902809765085214,-0.142544421899998
"P20645",-19.9830441331,-20.111963042,-20.9277534908,-20.306748494,-21.1155542998,-20.3817474336,6,6,5,5,5,5,0.50005526053767,0.834929577464789,0.260429853833333
"P20674",-20.8329664431,-21.371118713,-19.4480381558,-19.5560131477,-19.8417672761,-20.2046370906,4,5,6,9,3,5,0.154724195154331,0.563685636856369,-0.683235265833336
"P20700",-19.3112217869,-18.914349996,-18.9923856822,-18.8881401141,-18.9160085253,-19.1251355739,48,52,48,57,45,57,0.754503318951211,0.928516228748068,-0.0962244172666651
"P20810",-21.6328228913,-21.3568165999,-22.383305387,-21.8454989536,-22.2310284797,-21.7491736308,10,10,9,8,7,10,0.673957517424494,0.912595248767369,0.150918728633332
"P20839",-21.4894725749,-21.6682071671,-21.100027296,-21.0407103923,-21.1408677491,-20.783605694,4,4,7,4,7,6,0.252985230667109,0.701138519924099,-0.430841067533333
"P20962",-20.4634776228,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA
"P20967",NA,NA,-22.6637738537,NA,NA,NA,3,4,6,1,NA,1,NA,NA,NA
"P21127",NA,-22.6988542325,NA,NA,NA,-23.3744477994,9,8,11,12,13,11,NA,NA,NA
"P21165",NA,NA,NA,NA,-22.884082913,-21.8573257135,NA,NA,NA,2,4,3,NA,NA,NA
"P21170",NA,NA,NA,NA,-23.1814235629,-23.3596134549,NA,NA,NA,1,1,1,NA,NA,NA
"P21242",-21.5997224429,-22.3614410133,-22.2381953898,NA,NA,NA,9,8,6,6,6,7,NA,NA,NA
"P21243",-20.370714423,-21.0337665399,-20.4082144263,-21.1705120351,-20.4659780567,-21.1899543981,7,7,8,4,7,5,0.379134251576502,0.795070422535211,0.3379163669
"P21264",-21.4255267406,-21.2031592319,-20.4642734727,-21.806143018,-23.0362169065,-23.4102024987,16,15,18,6,11,8,0.0044920345170926,0.0987654320987654,1.71986765933334
"P21281",-20.8741069796,-21.8517538978,-20.8400295008,-20.7279565537,-20.3654701041,-20.6427884075,14,11,14,16,12,14,0.151342847660139,0.561549100968188,-0.609891770966666
"P21283",-22.5009509887,-22.4000642429,-22.3779165409,-21.4711898559,NA,-21.6908211292,7,5,7,8,5,6,0.0390944241619648,0.338983050847458,-0.845305098283337
"P21291",-21.7639902822,-20.2694661706,-20.5227927327,-22.0317086299,-20.4054398381,-19.9297428208,3,3,4,4,3,5,0.868815466312645,0.947731397459165,-0.0631192988999985
"P21304",-23.0539542238,NA,NA,NA,NA,NA,5,4,3,NA,1,NA,NA,NA,NA
"P21306",-20.2286817967,NA,NA,-20.4754247421,NA,NA,4,1,4,3,3,3,NA,NA,NA
"P21333",-19.667663845,-19.7103177679,-19.7111468985,-19.9085008212,-19.6159986983,-19.6039076726,91,91,86,87,96,103,0.94276750746764,0.964553510565781,0.0130928935666645
"P21367",NA,NA,NA,NA,NA,-19.8506133006,NA,NA,NA,2,3,3,NA,NA,NA
"P21399",-23.6492740647,-23.5759895281,-22.7583035013,-21.4842989096,-23.4636744727,-22.4602838991,8,10,11,12,8,8,0.0915791569863923,0.481335952848723,-0.858436604233333
"P21524",-23.8351501429,-23.8006584494,-23.8540171984,NA,NA,NA,1,3,2,0,4,NA,NA,NA,NA
"P21560",-22.4680613667,NA,-22.5186239336,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,NA
"P21576",-22.8165553936,-21.1582065149,-21.2267180879,-23.3705479959,-23.1407394043,-22.306557715,10,13,18,8,7,13,0.0296695984069034,0.276,1.2054550396
"P21599",NA,NA,NA,-22.7182982772,-21.0838577426,-20.9562314903,NA,NA,NA,2,4,7,NA,NA,NA
"P21734",-22.0693748412,-22.0927461861,-22.2922088865,NA,-22.0689311408,-22.3131059306,3,2,1,1,1,1,0.88233720544308,0.952091526635681,0.0395752310999988
"P21796",-18.2196806668,-18.2672215135,-18.2523934497,-17.9759223608,-18.1341474688,-17.917258273,22,21,23,21,22,24,0.466003650846333,0.820359281437126,-0.237322509133332
"P21827",-21.9878211973,NA,-23.7303918783,NA,NA,-22.479000472,3,1,3,NA,NA,2,NA,NA,NA
"P21889",NA,NA,NA,NA,-23.944117565,NA,NA,NA,NA,3,3,5,NA,NA,NA
"P21912",-22.1810750538,-21.3885663216,-20.55477194,-21.1710541774,-20.4288671829,-20.3104117312,10,11,12,7,13,8,0.120854298041819,0.5136,-0.738026741300001
"P21954",-21.988667872,-21.0748824221,-20.8672631686,-21.4554054026,-21.9623080586,-22.040142175,14,14,17,11,11,12,0.22709010952539,0.669464847848898,0.509014057833333
"P21964",-19.270361802,-20.1536726293,-19.8997472529,-19.8048059134,-20.6185239256,-20.3129267238,7,6,11,10,7,9,0.250338367076004,0.701138519924099,0.470824959533335
"P21965",NA,-21.3803767651,NA,NA,NA,-22.8428667296,5,6,6,4,3,5,NA,NA,NA
"P21980",-20.8321626562,-20.5092423654,-21.2108553563,-20.335278211,-20.885359578,-20.5847628508,15,15,11,16,15,18,0.489773481579821,0.833523375142531,-0.248953246033334
"P22033",NA,NA,NA,-24.1103036012,-23.898348912,NA,2,5,1,4,4,6,NA,NA,NA
"P22059",-22.7298242817,-22.7073100048,-22.7921062946,-22.7899429182,-24.0969603491,-22.2460145812,7,13,7,10,8,9,0.472216395618984,0.827893175074184,0.301225755800001
"P22061",-18.3503563515,-18.3453504534,-18.630902886,-18.5527337356,-18.4347123532,-18.7504997081,15,14,21,21,21,21,0.668650016594756,0.911711711711712,0.137112035333335
"P22087",-19.0153527868,-18.4875813435,-18.6015465897,-18.8229060906,-18.1905399661,-18.7471521003,22,23,26,18,25,31,0.732378194490541,0.928516228748068,-0.114627520999999
"P22102",-19.2415822659,-19.1594940051,-19.0964850575,-18.8584455468,-18.8739910999,-18.7821945349,51,58,60,59,54,59,0.329582807832725,0.759026687598116,-0.3276433823
"P22106",NA,NA,NA,-21.9628931149,-21.9417581722,-22.0346512026,0,0,0,3,3,3,NA,NA,NA
"P22137",-20.6148659904,-20.8117626809,-21.0987935018,-21.0291408981,-21.7495369321,-21.2248180509,34,41,41,20,22,28,0.212347328244275,0.658241758241758,0.492691236000002
"P22138",-24.2926984311,NA,-24.6209790415,NA,NA,NA,1,1,2,NA,2,NA,NA,NA,NA
"P22141",-21.4802346506,-21.3570570904,-20.8238992245,-20.7987343831,NA,NA,4,3,4,3,2,3,NA,NA,NA
"P22146",-20.5751454871,-20.761625354,-20.7571132268,-21.7780837533,-20.8484059511,-20.6521863692,9,8,9,5,8,9,0.320743611018918,0.752198241406875,0.394930668566666
"P22147",-22.0402369683,-21.6867067388,-21.5818122659,-22.5549026896,-22.6200535024,-23.0149446626,22,22,21,12,13,13,0.0312826086956522,0.280769230769231,0.9603816272
"P22202",-23.1197701645,-23.0896049716,-21.7745302869,NA,NA,-23.2773638074,59,60,59,47,47,55,NA,NA,NA
"P22203",-19.5610090061,-19.8893020659,-20.525179786,-21.4976662382,-21.3827011064,-19.7209860912,14,12,13,10,7,9,0.0864805841354132,0.473469387755102,0.875287525933334
"P22213",NA,-23.4331584828,-22.7214436404,NA,NA,NA,3,3,4,NA,NA,3,NA,NA,NA
"P22214",-21.7456780392,-21.5421601444,-21.4622348919,-21.7867580071,NA,-21.8709829915,1,1,1,1,NA,1,0.463275638898108,0.818400481058328,0.245512807466667
"P22217",-18.1275937433,-17.9790931266,-18.0539216912,-17.850098554,-18.9168128554,-18.5446555067,8,12,7,7,6,6,0.32585462993694,0.754538279400158,0.383652784999999
"P22234",-18.5387263044,-18.9312814253,-18.6885522436,-18.3760818086,-18.74215997,-18.9994346395,32,28,33,36,34,31,0.943487056090275,0.965622872702519,-0.0136278517333359
"P22256",NA,NA,NA,-22.2802009908,-21.5094318679,-21.7344881378,2,2,2,4,4,5,NA,NA,NA
"P22259",-23.0001376411,-22.9936879647,-23.1210324562,-20.1721660889,-19.941220113,-19.9803889517,1,4,3,14,13,14,3.70063060073017e-05,0,-3.00702763613333
"P22307",-21.677245023,-21.2281980956,-22.036167931,-20.7965982221,-21.2437357328,-21.3530295877,4,5,6,6,4,9,0.20107567208762,0.645642201834862,-0.516082502333333
"P22314",-19.5592371772,-19.3721976997,-19.5956201973,-19.4435995788,-19.2545068702,-19.3352687432,43,47,44,38,46,46,0.602827746432127,0.880975609756098,-0.164559960666665
"P22336",-23.4476519282,-21.859306563,-21.8371012481,-22.6776736807,NA,NA,4,6,4,3,1,3,NA,NA,NA
"P22392",-19.0640480164,-19.3226913909,-19.3156742983,-18.8904934746,-19.5995309627,-19.6039666215,36,34,35,16,19,41,0.700902754729505,0.916775032509753,0.1305257844
"P22515",-20.6478651231,-19.979309088,-19.993835197,-21.0284119372,-21.7799640328,-20.5755231923,34,35,38,28,28,28,0.053242449385994,0.38135593220339,0.9209632514
"P22517",NA,-23.1775982232,-23.2679661114,NA,NA,NA,1,2,2,NA,1,NA,NA,NA,NA
"P22570",-22.596531077,NA,-23.1469835612,NA,-21.9091717203,-22.5728476967,5,8,11,6,13,11,0.154304015930966,0.563685636856369,-0.630747610599997
"P22626",-17.5207235605,-17.5639230148,-17.4430415961,-17.488468979,-17.3316383441,-17.2058091588,78,83,89,83,85,86,0.598111848655825,0.877330716388616,-0.167257229833332
"P22695",-19.2748083179,-19.6390442211,-19.8540199486,-18.9880331829,-19.2001104234,-19.3879354752,20,16,17,23,17,16,0.287083803518088,0.718723037100949,-0.397264468699998
"P22696",-19.8348740434,-20.8579791507,NA,NA,NA,NA,3,2,2,2,NA,2,NA,NA,NA
"P22768",-21.7953000788,-22.5631996426,NA,NA,NA,-22.7765421833,6,2,3,NA,2,2,NA,NA,NA
"P22803",-17.5189407536,-17.1223623876,-17.48841415,-18.0462539132,-18.2101976663,-18.2376864243,15,20,21,13,9,15,0.0547728177895785,0.397759103641457,0.788140237533334
"P22830",NA,-21.3717039943,-22.1198578987,-20.8451529303,-21.4118986928,-21.6092587664,5,9,8,11,6,8,0.27323265847992,0.714036617262424,-0.457010816666664
"P22855",-24.5246268911,-23.5430215174,NA,NA,NA,NA,2,4,2,2,NA,NA,NA,NA,NA
"P22943",-18.0545147996,-18.2014224975,-18.1878050879,-18.1759533381,-17.9722075458,-18.8324514882,12,9,9,9,8,8,0.607888649186857,0.884093113482056,0.178956662366666
"P23180",-21.2951406551,-21.3424837389,-20.5254379643,-21.9996144166,-22.0936262557,-22.150293414,7,7,9,5,4,6,0.0275494523730501,0.269387755102041,1.02682390933333
"P23193",-20.2314002675,-19.694450327,-19.4430584356,-20.0376635783,-20.6642869047,-20.0962582737,12,14,13,13,13,13,0.235301858612678,0.683467741935484,0.476433242199999
"P23202",-23.1149074417,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"P23246",-19.2151885298,-19.6378459715,-19.1715921453,-19.4000037647,-19.564300196,-18.9889789213,47,45,42,55,49,65,0.921662130766678,0.957350901525659,-0.023781254866666
"P23248",-21.6900536483,NA,NA,NA,NA,NA,4,5,3,3,3,2,NA,NA,NA
"P23254",-21.0107690592,-20.4723124056,-20.4823302364,-21.7768986419,-20.8553575857,-20.5887171578,24,26,26,15,18,15,0.3063430136077,0.737840065952185,0.418520561399998
"P23258",NA,NA,-23.7195796148,NA,NA,NA,8,6,8,9,9,7,NA,NA,NA
"P23284",-19.1369094146,-19.2200889693,-20.0223581348,-19.045273096,-18.9512850654,-20.206106944,28,25,29,27,29,28,0.8613139727846,0.945807396558037,-0.0588971377666674
"P23291",-22.7364880952,NA,-22.9479634653,NA,NA,NA,3,0,4,2,1,1,NA,NA,NA
"P23292",-21.2112972668,-21.2600214983,-21.0070176334,-22.3800564488,-23.1198693922,-22.3492322451,6,5,7,5,2,3,0.00486458679057418,0.0987654320987654,1.45694056253333
"P23301",-18.106741299,-17.8218036741,-18.0037094705,-17.8413791626,-18.3036312054,-18.4256093876,19,20,20,16,16,15,0.537832227016263,0.85872430152873,0.212788437333334
"P23337",-22.5555222597,-24.0763034447,-22.208959247,NA,-23.405454,NA,7,6,6,1,1,1,NA,NA,NA
"P23368",-23.1855838223,-23.1454525754,-23.1976725538,NA,-23.2596783527,-23.2718627297,2,1,3,3,3,4,0.754466312645204,0.928516228748068,0.0895342240333328
"P23381",-19.0891276033,-19.0368179875,-18.9528129252,-18.7022385873,-18.9112191558,-18.7344331693,19,19,20,32,28,24,0.456835380019914,0.811400848999394,-0.243622534533333
"P23396",-18.2630341077,-18.1721449243,-18.0649195439,-18.1123426851,-18.2372728294,-18.0313106046,30,34,35,33,39,39,0.879785097909061,0.952091526635681,-0.0397241522666683
"P23434",-21.4282240152,-21.063242613,-21.2079742696,-21.3300661611,-21.2086529518,-20.3983531634,2,2,2,2,2,3,0.492781115167607,0.833523375142531,-0.254122873833332
"P23497",NA,NA,-24.239062517,NA,-24.3527395653,-24.5246607278,7,2,3,2,9,12,NA,NA,NA
"P23511",-22.1888687783,-22.4751397598,-22.219636656,-21.0675224437,-22.3097371223,-22.3403055606,1,2,2,2,1,2,0.343432293395287,0.76860119047619,-0.388693355833336
"P23526",-19.8234571188,-19.2724618204,-20.174557293,-20.2717264824,-20.0761687377,-19.6471065927,24,31,18,31,30,32,0.515254231662795,0.845771144278607,0.241508526866664
"P23528",-16.7772670565,-16.5537750361,-16.8971806053,-16.8055464175,-16.6818032548,-16.7804653284,46,45,43,53,53,44,0.942541154995022,0.96454142516195,0.0131974342666652
"P23542",-20.1783197748,-19.8097633198,-20.1294294385,-20.7551995433,-20.9080054421,-22.0369423163,12,9,9,6,6,6,0.020285761699303,0.238578680203046,1.19421158953334
"P23588",-19.9912578699,-20.4089653493,-20.7441133731,-20.1820963445,-20.2469852072,-20.3228513783,22,20,19,21,20,28,0.6959128775307,0.916010498687664,-0.130801220766664
"P23594",-22.0480168344,-23.1199248552,NA,NA,NA,NA,2,4,3,1,5,6,NA,NA,NA
"P23615",NA,-24.2510746426,NA,NA,NA,NA,6,8,5,NA,3,4,NA,NA,NA
"P23638",-19.5528000656,-19.9401868865,-19.9101694848,-20.5152827816,-21.8720781355,-22.1714624083,9,8,9,6,2,4,0.00400630600730169,0.0909090909090909,1.7185556295
"P23639",-20.1601044638,-20.7244133711,-20.0147869205,-21.8724813757,-20.9055744043,-21.0351912184,10,4,6,4,2,6,0.0411966478592765,0.348684210526316,0.971314081000003
"P23641",-20.6761840189,-20.3039253261,-20.4283358121,-21.1310855433,-22.7066836423,-21.3956084872,5,7,5,5,6,3,0.0177474278128112,0.21978021978022,1.27497750523333
"P23644",-22.059135277,-22.0265625488,-21.6958444414,-21.4146667688,-21.2549498979,-21.3315435571,3,2,3,3,3,5,0.121394291403916,0.5136,-0.59346068113333
"P23721",NA,NA,NA,-22.4487389726,-22.9094840482,NA,NA,NA,NA,2,3,1,NA,NA,NA
"P23776",-21.7338752548,-21.729924444,-21.2560084487,NA,NA,NA,6,5,3,3,2,2,NA,NA,NA
"P23843",NA,NA,NA,NA,NA,-23.3417955257,NA,NA,NA,3,NA,2,NA,NA,NA
"P23847",NA,NA,-23.1728747846,-21.6038466005,-21.6629650956,-21.0011888157,7,6,4,11,9,11,NA,NA,NA
"P23883",NA,NA,NA,-22.3249634427,-21.985572031,-22.209642123,NA,NA,NA,2,1,1,NA,NA,NA
"P23919",-20.7865408926,-20.7550359877,-20.4300624313,-19.6731998204,-20.7701876821,-19.9957585439,9,8,10,10,5,6,0.216517258546299,0.658721560130011,-0.5108310884
"P23921",-21.1617675836,-21.312121347,-21.4912289411,-20.9303557228,-20.8565693043,-20.6884815858,17,15,15,18,23,23,0.180427480916031,0.605392156862745,-0.496570419600001
"P24031",-23.4458979751,-23.2504121944,-23.0743562879,NA,NA,-23.3419562881,2,3,2,NA,NA,2,NA,NA,NA
"P24182",NA,NA,NA,-22.971148151,-21.8919032193,-22.1324914047,NA,NA,NA,4,5,5,NA,NA,NA
"P24276",-22.1253053458,-22.777334694,-22.9543112435,-23.1440381129,-24.6840136328,-24.8127360317,17,11,13,6,7,8,0.00764951875207434,0.141509433962264,1.5946121647
"P24280",-21.3631316307,-20.7467909343,-20.8988070856,NA,-21.4353036527,-22.2543484257,4,10,6,1,3,2,0.0679611682708264,0.416666666666667,0.841916155666667
"P24534",-18.1873407397,-18.1833835452,-18.2870745579,-18.0016339747,-17.9722398273,-18.3297499564,15,16,20,16,22,17,0.70755227348158,0.921551724137931,-0.118058361466666
"P24539",-21.9474151893,-20.5568078881,NA,-20.6018893934,-20.2886226645,-20.4207244153,6,5,4,6,5,6,0.0922590441420511,0.487329434697856,-0.815032714299999
"P24666",-18.9048601587,-19.4953686826,-18.9845104645,-18.8379963482,-19.0316280859,-19.0269147431,7,8,7,7,6,6,0.626522734815798,0.895522388059702,-0.162733376200002
"P24752",-20.2322108217,-20.0959277132,-20.6678937861,-20.7105058791,-19.8597393723,-20.762820089,14,15,12,15,15,16,0.745326916694325,0.928516228748068,0.1123443398
"P24783",-22.119256809,-21.8272101062,-22.2432137745,-23.8072301456,NA,-22.3570445829,17,9,15,16,16,14,0.0478806837039496,0.358433734939759,1.01891046768333
"P24928",-21.5426141294,-21.9601878144,-22.6505886572,-21.9856483559,-21.3900661183,-22.4159901919,22,19,19,22,23,22,0.741075340192499,0.928516228748068,-0.1205619783
"P24941",-20.8339004547,-21.0646668173,-22.3767201573,-22.0424460022,-20.9694221704,-22.2232300506,6,8,8,8,9,9,0.460756057085961,0.816265060240964,0.319936931299999
"P25087",-19.6559062619,-20.0181922126,-19.2296214772,-19.9646456492,-20.0974598081,-19.8214194626,16,16,16,10,12,13,0.375412213740458,0.790219702338767,0.326601656066668
"P25205",-19.4765906855,-19.5609747831,-19.5673518016,-19.2440634644,-19.3272094146,-19.0709577492,42,45,56,47,50,57,0.344896448722204,0.76860119047619,-0.320895547333333
"P25293",-20.9816383246,-20.789214508,-21.0216147282,-21.7462346596,-21.3617351096,-21.4847381008,4,8,7,2,6,4,0.119490872884169,0.5136,0.600080103066666
"P25294",-21.0562885397,-20.9959637509,-20.3806038083,-21.2019172914,-22.2482261734,-22.9947902876,7,8,10,3,4,4,0.0162140723531364,0.202312138728324,1.33735921783333
"P25296",-21.4516996241,-22.3082097671,-22.4223801859,NA,NA,NA,2,3,1,1,1,NA,NA,NA,NA
"P25303",-22.5700405431,-22.3761626742,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
